ID,Name,Career Growth,JoinedYear,Tenure,Age,Maritial Status,Total Salary,Promotions,Training,Gender,Working Hours,Experience,Performance Rating,No.of Leaves,Participation of Activities,churn
E0010022,SHTRHPRDKM,0,2012,3,23,0,60000.0,0,0,1,8,0,4,5,0.0,0
E0010023,GUFKAXUM,0,1999,16,38,1,18000.0,0,0,0,8,0,5,3,0.0,0
E0010024,KNIRMCFA,0,2013,2,41,0,54000.0,0,0,1,8,0,5,12,0.0,1
E0010025,TUDIHOPTLEZ,0,2011,4,24,0,54000.0,0,0,0,10,0,3,5,0.0,1
E0010026,LSSLZTZD,0,2005,10,33,0,18000.0,0,0,0,9,0,4,14,0.0,0
E0010027,DYVOTYZOGIVBP,0,2005,10,42,0,54000.0,0,0,1,9,0,3,13,0.0,1
E0010028,TZFTVKK,0,2007,8,24,0,24000.0,0,0,0,9,0,4,14,0.0,0
E0010029,QHUIS,0,2001,14,46,0,36000.0,0,0,0,10,0,2,13,0.0,1
E001003,PQDCZQK,0,2004,11,48,0,60000.0,0,0,1,9,0,4,20,0.0,0
E0010030,RBUHLWFM,0,2012,3,26,0,18000.0,0,0,1,10,0,3,19,0.0,1
E0010031,CEEAQ,0,2015,0,42,0,36000.0,0,0,0,8,0,3,15,0.0,0
E0010032,FUKMQIKOEIXR,0,2004,11,25,0,54000.0,0,0,1,9,0,4,8,0.0,0
E0010033,WUZYOMDXYD,0,2007,8,38,0,54000.0,0,0,0,10,0,1,19,0.0,1
E0010034,KUYQBDBOWA,0,2004,11,37,0,24000.0,0,0,1,8,0,4,0,0.0,0
E0010035,ILXQFJH,0,2004,11,26,0,60000.0,0,0,0,9,0,1,0,0.0,0
E0010036,GPNMPJMZ,0,2014,1,43,0,60000.0,0,0,0,9,0,5,15,0.0,1
E0010037,WWJFIJCHVUYI,0,2014,1,20,1,90000.0,0,0,1,8,0,3,12,0.0,1
E0010038,TQAAFFIT,0,2001,14,35,0,54000.0,0,0,1,9,0,5,14,0.0,1
E0010039,SYBYPLUN,0,2012,3,40,1,60000.0,0,0,1,9,0,2,20,0.0,1
E001004,HAZKHU,0,2013,2,34,0,24000.0,0,0,1,10,0,5,6,0.0,1
E0010040,TREIHF,0,1996,19,44,0,54000.0,0,0,0,9,0,3,14,0.0,1
E0010041,RMWGXOHKWNY,0,2012,3,31,1,180000.0,0,0,0,10,0,1,10,0.0,1
E0010042,BGTAEXK,0,2009,6,39,0,60000.0,0,0,0,10,0,4,9,0.0,0
E0010043,DQSDBFM,0,2009,6,25,0,60000.0,0,0,0,8,0,3,9,0.0,1
E0010044,XYCSKKI,0,1998,17,20,0,54000.0,0,0,0,9,0,4,10,0.0,1
E0010045,KVBCSQD,0,1999,16,23,1,90000.0,0,0,0,9,0,1,11,0.0,1
E0010046,ADHKLC,0,2006,9,36,0,18000.0,0,0,1,10,0,1,15,0.0,1
E0010047,XOKFJOTPCG,0,2003,12,28,0,54000.0,0,0,1,10,0,2,10,0.0,1
E0010048,LCBATY,0,2001,14,23,1,54000.0,0,0,1,10,0,5,12,0.0,0
E0010049,WPWXGIITLTDS,0,1999,16,35,0,24000.0,0,0,0,8,0,5,13,0.0,1
E001005,DALVYEP,0,2008,7,20,0,18000.0,0,0,0,10,0,5,12,0.0,1
E0010050,SMAKAVTUXO,0,1998,17,49,1,60000.0,0,0,0,8,0,1,4,0.0,1
E0010051,VSAIDERLU,0,2008,7,47,0,24000.0,0,0,1,10,0,1,4,0.0,1
E0010052,FFOFPVUHWRT,0,1999,16,32,0,18000.0,0,0,0,10,0,3,9,0.0,1
E0010053,YYVQPRJ,0,1998,17,38,1,90000.0,0,0,0,9,0,3,12,0.0,1
E0010054,VKHENYF,0,1998,17,36,0,24000.0,0,0,1,9,0,2,13,0.0,1
E0010055,MCPOSLANL,0,2007,8,49,1,54000.0,0,0,0,10,0,3,20,0.0,1
E0010056,CXOWWQRB,0,2011,4,25,1,90000.0,0,0,1,8,0,1,2,0.0,1
E0010057,SOHZHQZ,0,2014,1,46,1,60000.0,0,0,0,10,0,5,12,0.0,1
E0010058,AKXHX,0,2011,4,21,1,54000.0,0,0,0,10,0,4,4,0.0,1
E0010059,COZAAL,0,2008,7,30,0,90000.0,0,0,0,10,0,1,18,0.0,1
E001006,IISLJ,0,2009,6,41,1,54000.0,0,0,1,10,0,2,4,0.0,1
E0010060,DXQLQOVUMUS,0,2000,15,28,0,90000.0,0,0,0,9,0,2,20,0.0,1
E0010061,KNIXMTKGAQKDX,0,2003,12,33,0,90000.0,0,0,0,8,0,5,3,0.0,1
E0010062,NWSGKJOJTUQXH,0,1996,19,49,0,54000.0,0,0,1,8,0,5,6,0.0,1
E0010063,FHKGUOIVEI,0,2009,6,45,0,18000.0,0,0,0,9,0,4,6,0.0,1
E0010064,FUAPHQWK,0,2005,10,44,1,90000.0,0,0,1,9,0,5,16,0.0,1
E0010065,SIIIU,0,2010,5,30,0,54000.0,0,0,1,10,0,1,9,0.0,0
E0010066,GGWHAGRDRBJ,0,2005,10,44,0,54000.0,0,0,1,8,0,3,1,0.0,1
E0010067,LXYZQTIIZOEI,0,2011,4,30,0,180000.0,0,0,0,10,0,3,14,0.0,1
E0010068,LLJDHFSN,0,2009,6,25,1,60000.0,0,0,1,10,0,3,11,0.0,1
E0010069,KFNJXTIMV,0,2015,0,41,0,18000.0,0,0,1,9,0,1,6,0.0,1
E001007,ILWNZHNJ,0,2013,2,36,1,90000.0,0,0,0,8,0,3,6,0.0,0
E0010070,DZEHXMTQSJ,0,2015,0,34,0,54000.0,0,0,0,10,0,1,10,0.0,1
E0010071,MHPERWXWYCGFA,0,2006,9,39,0,54000.0,0,0,1,10,0,1,8,0.0,1
E0010072,FVOYJYXXWMYB,0,2015,0,47,0,36000.0,0,0,0,8,0,3,4,0.0,1
E0010073,VUQRNXQNZCACVB,0,2014,1,50,0,60000.0,0,0,1,9,0,1,4,0.0,1
E0010074,BCQXRCYR,0,2009,6,31,1,24000.0,0,0,0,10,0,4,9,0.0,1
E0010075,CBNCIILTNQP,0,2014,1,27,0,90000.0,0,0,0,10,0,1,20,0.0,1
E0010076,ZTNQQXESZG,0,1999,16,49,1,18000.0,0,0,0,10,0,3,8,0.0,1
E0010077,WJQHOJ,0,2007,8,46,1,180000.0,0,0,0,10,0,2,5,0.0,0
E0010078,DIDGDKIK,0,2000,15,45,1,54000.0,0,0,0,8,0,3,20,0.0,1
E0010079,WBKANLSK,0,1998,17,36,0,90000.0,0,0,0,9,0,5,15,0.0,1
E001008,TNAUIAIZR,0,2003,12,25,0,60000.0,0,0,0,8,0,1,1,0.0,1
E0010080,JPDLBSQNBR,0,2007,8,30,0,54000.0,0,0,0,9,0,4,12,0.0,1
E0010081,GWKTTJHVZUW,0,1999,16,35,0,54000.0,0,0,0,10,0,2,9,0.0,1
E0010082,JTSUQIC,0,1999,16,50,0,60000.0,0,0,0,10,0,4,16,0.0,1
E0010083,SOJNISZC,0,2005,10,45,0,54000.0,0,0,0,10,0,5,2,0.0,1
E0010084,JNOZCVQ,0,2015,0,45,1,180000.0,0,0,0,10,0,3,17,0.0,1
E0010085,TDPWVVEKNB,0,2004,11,39,0,60000.0,0,0,1,8,0,1,6,0.0,0
E0010086,JLJXP,0,2001,14,25,0,54000.0,0,0,0,8,0,2,17,0.0,1
E0010087,JZYIAUM,0,1999,16,34,0,60000.0,0,0,0,10,0,4,19,0.0,1
E0010088,QFGXPPACN,0,2005,10,44,0,60000.0,0,0,0,9,0,3,12,0.0,1
E0010089,WPJIKCS,0,2001,14,21,0,54000.0,0,0,0,9,0,3,5,0.0,0
E001009,SYSCNZBU,0,2012,3,33,0,60000.0,0,0,0,10,0,4,4,0.0,0
E0010090,DNNNYROZS,0,2003,12,40,0,24000.0,0,0,0,9,0,3,14,0.0,1
E0010091,HWWSEITS,0,2005,10,47,0,90000.0,0,0,0,8,0,2,6,0.0,1
E0010092,RVSEKYTBGPVXZ,0,1998,17,22,0,180000.0,0,0,0,9,0,3,16,0.0,1
E0010093,PBAHCRLQ,0,2009,6,49,0,24000.0,0,0,1,10,0,5,16,0.0,1
E0010094,VRJCKFV,0,2005,10,26,0,90000.0,0,0,0,8,0,2,5,0.0,1
E0010095,MEMZJUX,0,2011,4,32,0,54000.0,0,0,1,10,0,5,3,0.0,1
E0010096,LRBXPOYYTBGU,0,2011,4,48,0,54000.0,0,0,0,8,0,1,18,0.0,1
E0010097,MAUIQCUTYII,0,2008,7,44,1,54000.0,0,0,0,8,0,2,11,0.0,1
E0010098,ODDNDGHXDP,0,2009,6,49,0,24000.0,0,0,1,10,0,5,5,0.0,1
E0010099,ZSWLAINPVG,0,1998,17,35,0,18000.0,0,0,0,9,0,2,17,0.0,1
E00101,LIQOJPF,0,2010,5,44,1,54000.0,0,0,0,9,0,3,17,0.0,1
E001010,YDKJIUAEMWHHM,0,2014,1,20,1,24000.0,0,0,0,10,0,3,15,0.0,1
E0010100,LMLXNY,0,1997,18,49,0,36000.0,0,0,0,10,0,1,15,0.0,0
E0010101,WZCGP,0,2000,15,35,0,54000.0,0,0,1,9,0,4,8,0.0,1
E0010102,TBJJQQDNKNG,0,2001,14,48,1,90000.0,0,0,0,10,0,1,16,0.0,1
E0010103,BQSEMLG,0,2012,3,26,0,90000.0,0,0,0,8,0,5,19,0.0,1
E0010104,QCHYVNOKZN,0,2014,1,27,1,54000.0,0,0,0,10,0,2,11,0.0,1
E0010105,KSNUYBUXVW,0,2004,11,45,1,90000.0,0,0,1,10,0,1,10,0.0,1
E0010106,TUDTBVAW,0,2011,4,49,0,54000.0,0,0,1,9,0,5,8,0.0,1
E0010107,FDYXIRJ,0,2008,7,40,0,90000.0,0,0,0,10,0,4,14,0.0,1
E0010108,BOJOEKBLG,0,2006,9,40,1,24000.0,0,0,1,9,0,4,5,0.0,1
E0010109,BJXPJIHC,0,2001,14,40,1,90000.0,0,0,0,9,0,3,5,0.0,1
E001011,JHOSOHCZJ,0,2010,5,46,0,90000.0,0,0,1,10,0,4,17,0.0,0
E0010110,WLCTHSI,0,2011,4,45,0,54000.0,0,0,0,9,0,4,5,0.0,1
E0010111,BMCOTODPU,0,2008,7,41,0,90000.0,0,0,1,9,0,5,17,0.0,1
E0010112,PCGALA,0,2006,9,20,0,54000.0,0,0,1,10,0,5,20,0.0,1
E0010113,TERIRQU,0,1998,17,21,0,60000.0,0,0,0,9,0,4,0,0.0,1
E0010114,IXRXSIDW,0,2003,12,46,0,180000.0,0,0,1,9,0,5,8,0.0,0
E0010115,ABKZHY,0,1997,18,32,0,18000.0,0,0,1,9,0,1,19,0.0,1
E0010116,LHBOIWENVEGHEU,0,2008,7,39,0,36000.0,0,0,0,9,0,2,13,0.0,1
E0010117,XXWVXUXV,0,2007,8,22,0,54000.0,0,0,0,8,0,1,8,0.0,1
E0010118,TKDIYVGMGDVYM,0,2011,4,46,1,54000.0,0,0,0,8,0,2,18,0.0,1
E0010119,WNFDVYMFQ,0,1996,19,45,0,36000.0,0,0,0,10,0,1,8,0.0,1
E001012,GULTVEEGK,0,2004,11,23,0,24000.0,0,0,0,10,0,4,9,0.0,1
E0010120,AZATVSXSJ,0,2014,1,23,0,54000.0,0,0,0,8,0,2,7,0.0,1
E0010121,SGWAL,0,2000,15,40,0,18000.0,0,0,0,9,0,3,1,0.0,1
E0010122,QELPCBZEGO,0,2011,4,38,0,18000.0,0,0,0,9,0,3,20,0.0,1
E0010123,ILRCGDHDQMSYB,0,2003,12,36,1,90000.0,0,0,0,9,0,5,2,0.0,1
E0010124,RTQLQLCSQJQDE,0,2002,13,48,0,36000.0,0,0,0,9,0,1,18,0.0,1
E0010125,SKJUERBVCWN,0,2004,11,32,0,18000.0,0,0,0,10,0,2,9,0.0,1
E0010126,FPRSBBQDOP,0,2013,2,21,0,36000.0,0,0,0,10,0,3,0,0.0,1
E0010127,HXDAHY,0,2001,14,20,1,24000.0,0,0,0,9,0,2,9,0.0,1
E0010128,COZDNSGP,0,2003,12,29,0,54000.0,0,0,0,9,0,2,1,0.0,0
E0010129,LYJHMELFCJ,0,2000,15,41,1,60000.0,0,0,0,8,0,1,17,0.0,0
E001013,HOUKACIQKU,0,2002,13,41,0,24000.0,0,0,1,10,0,3,0,0.0,1
E0010130,BAECWBE,0,2015,0,37,0,54000.0,0,0,1,9,0,3,20,0.0,1
E0010131,ITIIYZN,0,2003,12,22,0,60000.0,0,0,0,10,0,1,5,0.0,1
E0010132,KXFHSEWFPZ,0,2014,1,21,0,36000.0,0,0,0,10,0,2,15,0.0,0
E0010133,EVWSGVAQNNKK,0,2007,8,41,0,180000.0,0,0,0,10,0,1,13,0.0,1
E0010134,FIALWKYSG,0,2000,15,36,1,90000.0,0,0,0,8,0,2,19,0.0,0
E0010135,HIZZSN,0,2007,8,21,0,24000.0,0,0,1,8,0,4,3,0.0,0
E0010136,IUXFMAJH,0,1999,16,23,1,54000.0,0,0,1,9,0,2,11,0.0,1
E0010137,CVPEMS,0,2011,4,25,0,18000.0,0,0,0,10,0,4,6,0.0,1
E0010138,DSSBEABQ,0,2009,6,34,0,90000.0,0,0,0,10,0,3,15,0.0,1
E0010139,XWVJCEST,0,2004,11,28,0,54000.0,0,0,0,8,0,3,20,0.0,1
E001014,ZOBHISG,0,2001,14,43,1,18000.0,0,0,0,8,0,3,0,0.0,1
E0010140,OCGKL,0,2009,6,25,0,90000.0,0,0,0,8,0,2,10,0.0,1
E0010141,ETQTJUCBFNEHX,0,2007,8,31,1,54000.0,0,0,0,10,0,5,20,0.0,1
E0010142,TWWHKWLRGJO,0,2003,12,40,0,36000.0,0,0,0,9,0,4,0,0.0,1
E0010143,ROZSYZNV,0,1999,16,22,0,54000.0,0,0,0,10,0,1,6,0.0,1
E0010144,MPTFOETM,0,2011,4,21,0,36000.0,0,0,0,10,0,5,14,0.0,1
E0010145,MMHXXHSXV,0,2004,11,41,0,24000.0,0,0,1,9,0,2,11,0.0,1
E0010146,EUTOLCIXEV,0,1997,18,33,0,90000.0,0,0,0,8,0,4,2,0.0,0
E0010147,NUTXCERR,0,1997,18,43,1,60000.0,0,0,1,10,0,4,0,0.0,1
E0010148,IZENXA,0,1996,19,21,1,60000.0,0,0,1,9,0,5,17,0.0,0
E0010149,PHVIOOLLW,0,2004,11,32,0,36000.0,0,0,0,10,0,2,13,0.0,1
E001015,WQIQXBAE,0,2013,2,22,0,24000.0,0,0,0,9,0,3,18,0.0,1
E0010150,OXFGDQMXFATT,0,2012,3,32,0,90000.0,0,0,1,10,0,4,7,0.0,0
E0010151,KDAXBBPFCCK,0,1996,19,21,0,90000.0,0,0,0,8,0,1,3,0.0,1
E0010152,HYUMGYE,0,2013,2,28,0,90000.0,0,0,0,9,0,5,2,0.0,0
E0010153,AFYGXZQ,0,1996,19,48,0,36000.0,0,0,0,10,0,5,19,0.0,1
E0010154,OZVZTDYDUG,0,2001,14,37,1,24000.0,0,0,1,8,0,4,6,0.0,1
E0010155,BBDVOKVI,0,1996,19,36,0,54000.0,0,0,1,9,0,3,0,0.0,1
E0010156,BOULNGOTQ,0,2007,8,22,0,24000.0,0,0,0,10,0,1,0,0.0,1
E0010157,SLMMZRWVS,0,1997,18,28,1,24000.0,0,0,1,10,0,5,0,0.0,1
E0010158,IIDSVN,0,2015,0,33,0,24000.0,0,0,0,8,0,4,8,0.0,1
E0010159,LQQUL,0,2010,5,30,1,24000.0,0,0,1,10,0,4,5,0.0,1
E001016,OAMKNZQV,0,2002,13,47,1,24000.0,0,0,0,10,0,5,0,0.0,1
E0010160,GNDSNSDVMA,0,2009,6,38,0,54000.0,0,0,1,9,0,1,13,0.0,1
E0010161,VUIBIXWPIPBW,0,2008,7,30,0,90000.0,0,0,1,9,0,4,3,0.0,1
E0010162,BKUHGNXXCW,0,2003,12,50,0,24000.0,0,0,0,9,0,3,3,0.0,1
E0010163,WAXUVIBRMZZQAK,0,1999,16,41,1,24000.0,0,0,0,8,0,4,13,0.0,0
E0010164,WYUIRJKIM,0,1999,16,30,0,54000.0,0,0,0,9,0,4,1,0.0,1
E0010165,SVAQZAO,0,2010,5,34,1,18000.0,0,0,0,9,0,4,11,0.0,1
E0010166,DRNDVOHSOWG,0,2007,8,22,0,54000.0,0,0,1,9,0,2,7,0.0,1
E0010167,GLNAJPCQH,0,1996,19,41,0,24000.0,0,0,1,10,0,2,18,0.0,1
E0010168,GDUSDHQK,0,2014,1,22,1,90000.0,0,0,0,9,0,5,20,0.0,0
E0010169,AFSVDMWTCG,0,2015,0,47,0,54000.0,0,0,0,8,0,2,17,0.0,1
E001017,GYSSXPPLRPED,0,2000,15,29,0,18000.0,0,0,0,9,0,2,5,0.0,0
E0010170,JXJPLODROO,0,2000,15,37,0,24000.0,0,0,0,9,0,4,14,0.0,1
E0010171,ZDNARVEBJ,0,2015,0,21,1,24000.0,0,0,1,8,0,5,6,0.0,1
E0010172,NLIAYXHQZIE,0,2015,0,45,1,54000.0,0,0,0,8,0,4,10,0.0,1
E0010173,XLWKOIQ,0,1999,16,39,0,90000.0,0,0,0,9,0,2,12,0.0,1
E0010174,BNUOTPDAIZ,0,1999,16,50,0,54000.0,0,0,0,8,0,5,1,0.0,0
E0010175,EJUDFXBVW,0,2000,15,32,0,24000.0,0,0,1,8,0,4,16,0.0,1
E0010176,MMGCMTNUEG,0,1996,19,23,0,54000.0,0,0,1,10,0,1,18,0.0,0
E0010177,LCQLBBJS,0,2013,2,47,1,36000.0,0,0,0,10,0,2,2,0.0,1
E0010178,QJXXAKIWUEDH,0,2012,3,40,0,90000.0,0,0,1,9,0,3,11,0.0,1
E0010179,HWSLOHI,0,2001,14,32,1,54000.0,0,0,0,8,0,2,12,0.0,0
E001018,VBYANPCYJKWM,0,2015,0,49,0,90000.0,0,0,0,9,0,2,3,0.0,1
E0010180,JMUWNWNGCL,0,2008,7,20,1,24000.0,0,0,0,10,0,4,8,0.0,1
E0010181,JRUNJ,0,2000,15,24,1,54000.0,0,0,0,9,0,5,10,0.0,0
E0010182,GTQFDAF,0,2009,6,44,1,54000.0,0,0,0,10,0,5,20,0.0,0
E0010183,ZJONNQXU,0,1996,19,22,0,60000.0,0,0,0,10,0,4,16,0.0,1
E0010184,DIRIAEUKVCHW,0,2012,3,33,0,18000.0,0,0,1,8,0,3,11,0.0,1
E0010185,QPWJX,0,1997,18,29,1,60000.0,0,0,0,8,0,3,4,0.0,1
E0010186,SVGBDHUSQEA,0,2015,0,47,1,24000.0,0,0,1,9,0,1,16,0.0,1
E0010187,FELBPAGHA,0,2006,9,30,0,90000.0,0,0,0,9,0,2,12,0.0,1
E0010188,WCLKA,0,1999,16,46,1,54000.0,0,0,0,10,0,1,18,0.0,1
E0010189,BUYWJUGC,0,2008,7,36,0,24000.0,0,0,1,10,0,5,12,0.0,0
E001019,XOOKCDJRVAYCTRH,0,2013,2,44,0,54000.0,0,0,0,8,0,2,20,0.0,1
E0010190,VHMVZPWOI,0,2010,5,36,1,60000.0,0,0,0,10,0,2,12,0.0,1
E0010191,NQFZOJHSQSZNC,0,2004,11,21,0,60000.0,0,0,0,10,0,4,16,0.0,1
E0010192,OWGRQVIV,0,2010,5,50,0,54000.0,0,0,0,10,0,2,4,0.0,1
E0010193,EVMWMKGLJJG,0,2006,9,49,1,36000.0,0,0,0,9,0,5,12,0.0,0
E0010194,IXJHGBBFVJJ,0,2008,7,33,1,60000.0,0,0,1,9,0,4,11,0.0,1
E0010195,MCZYTZLD,0,1997,18,50,0,24000.0,0,0,0,9,0,5,7,0.0,1
E0010196,EIJZHDFITPW,0,2015,0,24,1,60000.0,0,0,1,10,0,5,10,0.0,1
E0010197,XPHAGLE,0,2005,10,41,0,24000.0,0,0,0,10,0,5,9,0.0,1
E0010198,XGJFWBT,0,1998,17,21,0,24000.0,0,0,0,10,0,3,3,0.0,1
E0010199,HULTH,0,1998,17,25,0,54000.0,0,0,1,9,0,1,2,0.0,1
E00102,UELILV,0,2001,14,41,1,24000.0,0,0,0,9,0,3,16,0.0,1
E001020,HTAPVCH,0,1998,17,28,1,60000.0,0,0,1,9,0,4,12,0.0,1
E0010200,GMZSEBDYNQA,0,1996,19,50,0,90000.0,0,0,1,8,0,5,3,0.0,1
E0010201,CJOMIJQT,0,1996,19,48,0,60000.0,0,0,1,8,0,1,19,0.0,1
E0010202,DJWFJDRBIAXCRIF,0,2000,15,25,0,54000.0,0,0,0,10,0,4,17,0.0,1
E0010203,VZEZPULNMYGNDB,0,2007,8,41,0,54000.0,0,0,0,9,0,1,14,0.0,1
E0010204,FGCTSCIW,0,2015,0,27,0,24000.0,0,0,1,10,0,2,0,0.0,1
E0010205,WGKTMVVRI,0,2009,6,39,0,54000.0,0,0,0,8,0,1,16,0.0,1
E0010206,WNTLQEDFQT,0,2006,9,49,0,54000.0,0,0,1,8,0,4,15,0.0,0
E0010207,OTRDQULOMUD,0,2000,15,48,0,90000.0,0,0,1,10,0,1,8,0.0,1
E0010208,OGRHEQT,0,2008,7,50,0,60000.0,0,0,1,8,0,1,17,0.0,0
E0010209,VSYXZPACIX,0,1996,19,26,0,24000.0,0,0,0,8,0,3,6,0.0,1
E001021,MCOCOG,0,2003,12,41,1,180000.0,0,0,0,9,0,5,4,0.0,1
E0010210,OKIYKP,0,2015,0,20,1,54000.0,0,0,0,9,0,1,11,0.0,1
E0010211,LHUJYICGB,0,2000,15,35,0,36000.0,0,0,0,8,0,1,20,0.0,0
E0010212,VWTHZIUNHLWDI,0,2011,4,45,0,90000.0,0,0,0,9,0,2,14,0.0,1
E0010213,SVRKKIMP,0,1998,17,22,0,24000.0,0,0,1,8,0,1,17,0.0,0
E0010214,TPJQYUZDCZDA,0,1998,17,21,1,90000.0,0,0,0,8,0,4,19,0.0,1
E0010215,YAHYSEMPLF,0,2009,6,40,1,24000.0,0,0,1,8,0,4,1,0.0,1
E0010216,VMREQRERC,0,1997,18,29,0,54000.0,0,0,0,8,0,1,1,0.0,1
E0010217,HVXTZMAT,0,2002,13,38,0,54000.0,0,0,0,8,0,3,5,0.0,0
E0010218,ZDDQVQFK,0,2002,13,37,0,24000.0,0,0,1,9,0,1,12,0.0,0
E0010219,UZTKZK,0,2012,3,42,0,90000.0,0,0,1,8,0,1,3,0.0,1
E001022,BOVUMQCGJ,0,2014,1,37,0,54000.0,0,0,1,9,0,4,14,0.0,1
E0010220,KMTISHP,0,2006,9,28,1,24000.0,0,0,1,9,0,4,18,0.0,1
E0010221,OQXHMEIU,0,1996,19,39,0,24000.0,0,0,0,9,0,3,14,0.0,1
E0010222,PKMYEAX,0,2005,10,24,0,24000.0,0,0,0,9,0,1,8,0.0,1
E0010223,HIYDDP,0,2004,11,50,0,60000.0,0,0,0,9,0,2,18,0.0,1
E0010224,EVQYAOCBGZTTH,0,1999,16,42,0,54000.0,0,0,1,9,0,4,2,0.0,1
E0010225,FWKBSODCA,0,2009,6,49,0,24000.0,0,0,1,8,0,2,16,0.0,0
E0010226,ULCZKYPMQ,0,2005,10,21,0,90000.0,0,0,0,10,0,1,8,0.0,0
E0010227,YYZWEUNSV,0,2001,14,42,0,54000.0,0,0,0,10,0,3,8,0.0,1
E0010228,PZFWAXRIJB,0,2001,14,33,0,54000.0,0,0,0,8,0,5,2,0.0,0
E0010229,PKIKCRK,0,2013,2,33,0,54000.0,0,0,1,10,0,1,4,0.0,1
E001023,QOIMTHZTQBS,0,2011,4,26,0,90000.0,0,0,0,9,0,2,16,0.0,1
E0010230,YCYZQTGXN,0,1996,19,27,0,54000.0,0,0,0,8,0,1,12,0.0,0
E0010231,ZVTASG,0,2012,3,42,1,60000.0,0,0,1,9,0,2,20,0.0,1
E0010232,IURFFUAIV,0,1997,18,49,0,24000.0,0,0,1,10,0,3,17,0.0,1
E0010233,PIXKMCYEQ,0,2005,10,20,0,54000.0,0,0,1,8,0,5,1,0.0,1
E0010234,VYNQXJGZAO,0,2000,15,29,1,36000.0,0,0,1,9,0,3,5,0.0,1
E0010235,ZSTDWD,0,2008,7,31,0,24000.0,0,0,1,8,0,2,6,0.0,1
E0010236,AEUGSGIRXH,0,2006,9,20,0,180000.0,0,0,0,10,0,2,17,0.0,1
E0010237,THSSKTNXBJK,0,1998,17,45,0,54000.0,0,0,0,8,0,1,1,0.0,1
E0010238,ZEQEBLOHP,0,2013,2,38,1,54000.0,0,0,1,8,0,4,3,0.0,1
E0010239,TXSVUM,0,2000,15,28,0,90000.0,0,0,0,8,0,2,10,0.0,1
E001024,QAXQDKQVCOL,0,2002,13,48,0,36000.0,0,0,0,10,0,2,20,0.0,1
E0010240,GGTWICLEO,0,2001,14,34,0,18000.0,0,0,0,9,0,3,13,0.0,1
E0010241,WNJPLBH,0,2010,5,32,1,90000.0,0,0,0,8,0,2,19,0.0,0
E0010242,OIRWTFU,0,2006,9,20,1,180000.0,0,0,0,8,0,5,14,0.0,1
